drug_name	search_type	studies_found	pmid	pmc_id	literature_evidence
dopaminergic agent	No Results	0	[]	[]	No evidence found
antiretroviral agent	MeSH PA (HDT)	1	['23764389']	['PMC4237170']	"[1] Rising to the challenge: new therapies for tuberculosis.
    Authors: Wong EB, Cohen KA, Bishai WR
    PMID: 23764389 | PMCID: PMC4237170 | DOI: S0966-842X(13)00086-3 [PMC]"
anxiolytic	MeSH PA (HDT)	1	['41226452']	['PMC12609329']	"[1] Synergistic Effects of Curcumin and Antibiotics Against Drug-Sensitive and Multidrug-Resistant Mycobacterium tuberculosis.
    Authors: Lara-Espinosa JV, Barrios-Payán J, Lozano-Ordaz V, Mata-Espinosa D, Becerril-Villanueva E, Ponce-Regalado MD, Hernández-Pando R
    PMID: 41226452 | PMCID: PMC12609329 | DOI: 10.3390/ijms262110414 [PMC]"
sedative	MeSH PA (HDT)	2	['40211397', '39766204']	['PMC11987284', 'PMC11673177']	"[1] Host-directed therapy for tuberculosis.
    Authors: Tian N, Chu H, Li Q, Sun H, Zhang J, Chu N, Sun Z
    PMID: 40211397 | PMCID: PMC11987284 | DOI: 10.1186/s40001-025-02443-4 [PMC]

[2] Repurposed Drugs and Plant-Derived Natural Products as Potential Host-Directed Therapeutic Candidates for Tuberculosis.
    Authors: Raqib R, Sarker P
    PMID: 39766204 | PMCID: PMC11673177 | DOI: 10.3390/biom14121497 [PMC]"
antineoplastic agent	MeSH PA (HDT)	2	['32269568', '35935981']	['PMC7109258', 'PMC9353143']	"[1] Myeloid-Derived Suppressor Cells as Target of Phosphodiesterase-5 Inhibitors in Host-Directed Therapeutics for Tuberculosis.
    Authors: Leukes V, Walzl G, du Plessis N
    PMID: 32269568 | PMCID: PMC7109258 | DOI: 10.3389/fimmu.2020.00451 [PMC]

[2] Sildenafil, a Type-5 Phosphodiesterase Inhibitor, Fails to Reverse Myeloid-Derived Suppressor Cell-Mediated T Cell Suppression in Cells Isolated From Tuberculosis Patients.
    Authors: Leukes VN, Malherbe ST, Hiemstra A, Kotze LA, Roos K, Keyser A, De Swardt D, Gutschmidt A, Walzl G, du Plessis N
    PMID: 35935981 | PMCID: PMC9353143 | DOI: 10.3389/fimmu.2022.883886 [PMC]"
hormone synthesis inhibitor	No Results	0	[]	[]	No evidence found
immunomodulatory agent	MeSH PA (HDT)	5	['30590592', '37196131', '41283383', '27301245', '41305415']	['PMC6562157', 'PMC11081169', 'PMC12641793', 'PMC4908783', 'PMC12655360']	"[1] Remembering the Host in Tuberculosis Drug Development.
    Authors: Frank DJ, Horne DJ, Dutta NK, Shaku MT, Madensein R, Hawn TR, Steyn AJC, Karakousis PC, Kana BD, Meintjes G, Laughon B, Tanvir Z
    PMID: 30590592 | PMCID: PMC6562157 | DOI: 10.1093/infdis/jiy712 [PMC]

[2] Potential of Neuroinflammation-Modulating Strategies in Tuberculous Meningitis: Targeting Microglia.
    Authors: Lu HJ, Guo D, Wei QQ
    PMID: 37196131 | PMCID: PMC11081169 | DOI: 10.14336/AD.2023.0311 [PMC]

[3] Clinical Experience with Inosine Pranobex in Pediatric Acute Respiratory Infections with Comorbidities: A Case Series from a Specialised Centre.
    Authors: Kunč P, Fábry J, Ištvánková K, Péčová R, Jeseňák M
    PMID: 41283383 | PMCID: PMC12641793 | DOI: 10.3390/pediatric17060123 [PMC]

[4] Potential of immunomodulatory agents as adjunct host-directed therapies for multidrug-resistant tuberculosis.
    Authors: Zumla A, Rao M, Dodoo E, Maeurer M
    PMID: 27301245 | PMCID: PMC4908783 | DOI: 10.1186/s12916-016-0635-1 [PMC]

[5] Proposing Bromo-Epi-Androsterone for Host-Directed Therapy Against Tuberculosis.
    Authors: Dow CT, Obaid L
    PMID: 41305415 | PMCID: PMC12655360 | DOI: 10.3390/pathogens14111179 [PMC]"
glutamatergic agent	MeSH PA (TB)	1	['24991926']	['PMC4081005']	"[1] Does D-cycloserine enhance exposure therapy for anxiety disorders in humans? A meta-analysis.
    Authors: Rodrigues H, Figueira I, Lopes A, Gonçalves R, Mendlowicz MV, Coutinho ES, Ventura P
    PMID: 24991926 | PMCID: PMC4081005 | DOI: 10.1371/journal.pone.0093519 [PMC]"
antidiabetic agent	MeSH PA (HDT)	7	['26510950', '30425706', '41226364', '40401906', '32411100', '33552087', '29325084']	['PMC4779125', 'PMC6218626', 'PMC12609301', 'PMC7617758', 'PMC7201016', 'PMC7862709', 'PMC5848303']	"[1] Host-directed therapy targeting the Mycobacterium tuberculosis granuloma: a review.
    Authors: Kiran D, Podell BK, Chambers M, Basaraba RJ
    PMID: 26510950 | PMCID: PMC4779125 | DOI: 10.1007/s00281-015-0537-x [PMC]

[2] The Immune Mechanisms of Lung Parenchymal Damage in Tuberculosis and the Role of Host-Directed Therapy.
    Authors: Stek C, Allwood B, Walker NF, Wilkinson RJ, Lynen L, Meintjes G
    PMID: 30425706 | PMCID: PMC6218626 | DOI: 10.3389/fmicb.2018.02603 [PMC]

[3] Overcoming Treatment Challenges in HIV-Associated Mycobacterial Diseases: New Therapeutic Frontiers.
    Authors: Nikjeh O, Rejali S, Sasaninia K, Venketaraman V
    PMID: 41226364 | PMCID: PMC12609301 | DOI: 10.3390/ijms262110325 [PMC]

[4] Clinical, metabolic, and immune interaction between tuberculosis and diabetes mellitus: implications and opportunities for therapies.
    Authors: Magodoro IM, Kotze LA, Stek CJ, West A, Le Roux A, Sobratee N, Taliep A, Hamada Y, Dave JA, Rangaka MX, Parihar SP, Wilkinson RJ
    PMID: 40401906 | PMCID: PMC7617758 | DOI: 10.1080/14656566.2025.2508904 [PMC]

[5] Metformin as Host-Directed Therapy for TB Treatment: Scoping Review.
    Authors: Naicker N, Sigal A, Naidoo K
    PMID: 32411100 | PMCID: PMC7201016 | DOI: 10.3389/fmicb.2020.00435 [PMC]

[6] The New Frontier of Host-Directed Therapies for Mycobacterium avium Complex.
    Authors: Crilly NP, Ayeh SK, Karakousis PC
    PMID: 33552087 | PMCID: PMC7862709 | DOI: 10.3389/fimmu.2020.623119 [PMC]

[7] Metformin Use Reverses the Increased Mortality Associated With Diabetes Mellitus During Tuberculosis Treatment.
    Authors: Degner NR, Wang JY, Golub JE, Karakousis PC
    PMID: 29325084 | PMCID: PMC5848303 | DOI: 10.1093/cid/cix819 [PMC]"
adrenergic agent	MeSH PA (TB)	1	['33131530']	['PMC7547373']	"[1] Multi-omics-based identification of SARS-CoV-2 infection biology and candidate drugs against COVID-19.
    Authors: Barh D, Tiwari S, Weener ME, Azevedo V, Góes-Neto A, Gromiha MM, Ghosh P
    PMID: 33131530 | PMCID: PMC7547373 | DOI: S0010-4825(20)30382-6 [PMC]"
